Designator,Mid X,Mid Y,Rotation,Layer
C1,144.357,-99.92,180.0,top
C2,145.307,-103.11,90.0,top
C3,151.84,-118.54,180.0,top
C4,144.357,-106.39,0.0,top
C5,143.247,-103.12,90.0,top
C6,138.5045,-112.99,0.0,top
D1,175.347,-85.07,0.0,top
D2,176.727,-88.38,0.0,top
D3,176.727,-91.08,0.0,top
D4,176.727,-89.73,0.0,top
D5,172.07,-104.96,90.0,top
D6,151.61,-103.16,90.0,top
J1,185.977,-89.28,90.0,top
J10,122.367,-91.06,0.0,top
J11,174.077,-80.71,0.0,bottom
J12,185.6,-111.68,90.0,top
J2,164.2056,-81.0684,180.0,top
J3,164.22,-101.21,0.0,top
J4,164.22,-94.12,0.0,top
J5,164.21,-87.07,0.0,top
J6,132.527,-83.5,0.0,top
J7,169.607,-120.3,270.0,top
J8,169.617,-115.17,270.0,top
J9,187.707,-100.6,0.0,top
R1,176.402,-86.95,180.0,top
R2,154.41,-118.54,180.0,top
R3,176.402,-92.51,180.0,top
R4,141.947,-113.02,90.0,top
R5,135.0345,-113.01,90.0,top
R6,134.4,-97.97,90.0,top
R7,136.21,-97.97,90.0,top
S1,141.4245,-117.87,0.0,top
S2,135.4145,-117.87,180.0,top
U1,146.557,-85.0,0.0,top
U2,137.527,-103.06,0.0,top
U3,176.52,-96.6413,0.0,top
U4,151.367,-120.665,0.0,top
U5,176.517,-101.7,180.0,top
